Rank,Athlete,Nation,D,E,ND,year,round,Total
61,christian baumann,SUI,5.8,7.533,0.0,2019,qual,13.333
62,tomas gonzalez,CHI,4.7,8.566,0.0,2019,qual,13.266000000000002
63,nicolau mir,ESP,5.0,8.266,0.0,2019,qual,13.266
64,giarnni regini-moran,none,5.2,8.066,0.0,2019,qual,13.266000000000002
65,sofus heggemsnes,NOR,4.6,8.633,0.0,2019,qual,13.232999999999999
66,lee chih kai,none,4.9,8.333,0.0,2019,qual,13.233
67,oleg verniaiev,UKR,5.0,8.233,0.0,2019,qual,13.233
68,ludovico edalli,ITA,5.5,7.733,0.0,2019,qual,13.233
69,ibrahim colak,TUR,4.9,8.3,0.0,2019,qual,13.200000000000001
70,ilias georgiou,CYP,5.7,7.5,0.0,2019,qual,13.2
71,david huddleston,BUL,4.7,8.466,0.0,2019,qual,13.166
72,nikolaos iliopoulos,GRE,5.5,7.666,0.0,2019,qual,13.166
73,hsu ping chien,none,4.6,8.533,0.0,2019,qual,13.133
74,andres martinez,COL,5.0,8.116,0.0,2019,qual,13.116
75,loris frasca,FRA,4.9,8.2,0.0,2019,qual,13.1
75,le thanh tung,VIE,4.9,8.2,0.0,2019,qual,13.1
77,rafael rosendi,CUB,5.7,7.366,0.0,2019,qual,13.065999999999999
78,vlada rakovic,SRB,4.5,8.533,0.0,2019,qual,13.033
79,aleh tsiaselski,BLR,4.8,8.233,0.0,2019,qual,13.033000000000001
80,vinzenz höck,AUT,4.9,8.133,0.0,2019,qual,13.033
80,devy dyson,NZL,4.9,8.133,0.0,2019,qual,13.033
82,carlos edriel yulo,PHI,5.1,7.933,0.0,2019,qual,13.033
82,yul moldauer,USA,5.1,7.933,0.0,2019,qual,13.033
84,ivan tikhonov,AZE,5.1,7.9,0.0,2019,qual,13.0
85,kim han-sol,SKR,4.4,8.566,0.0,2019,qual,12.966000000000001
86,nestor abad,ESP,5.8,7.166,0.0,2019,qual,12.966000000000001
87,yu chao wei,none,4.8,8.133,0.0,2019,qual,12.933
88,daniel radovesnicky,CZE,4.7,8.2,0.0,2019,qual,12.899999999999999
89,joel alvarez,CHI,4.9,8.0,0.0,2019,qual,12.9
90,andres perez,PUR,5.0,7.9,0.0,2019,qual,12.9
91,rene cournoyer,CAN,5.2,7.7,0.0,2019,qual,12.9
92,cory paterson,CAN,5.6,7.3,0.0,2019,qual,12.899999999999999
93,dzianis sanuvonh,BLR,4.5,8.366,0.0,2019,qual,12.866
94,ilya yakauleu,BLR,4.7,8.166,0.0,2019,qual,12.866
95,yordan aleksandrov,BUL,5.0,7.866,0.0,2019,qual,12.866
96,manuel martinez,COL,5.1,7.766,0.0,2019,qual,12.866
97,jacob buus,DEN,4.9,7.933,0.0,2019,qual,12.833
98,kakeru tanigawa,JPN,5.5,7.333,0.0,2019,qual,12.833
99,artur davtyan,ARM,4.3,8.5,0.0,2019,qual,12.8
100,elias koski,FIN,4.8,8.0,0.0,2019,qual,12.8
101,david rumbutis,SWE,4.3,8.466,0.0,2019,qual,12.765999999999998
102,yogeshwar singh,IND,4.6,8.166,0.0,2019,qual,12.766
103,mitchell morgans,AUS,6.0,6.766,0.0,2019,qual,12.766
104,eeli mikkola,FIN,4.1,8.633,0.0,2019,qual,12.732999999999999
104,cyril tommasone,FRA,4.1,8.633,0.0,2019,qual,12.732999999999999
106,olegs ivanovs,LAT,4.6,8.133,0.0,2019,qual,12.732999999999999
107,yevgen yudenkov,UKR,4.8,7.933,0.0,2019,qual,12.733
108,mohamed afify,EGY,4.4,8.3,0.0,2019,qual,12.700000000000001
109,valgard reinhardsson,ISL,4.5,8.2,0.0,2019,qual,12.7
110,matthias schwab,AUT,5.3,7.4,0.0,2019,qual,12.7
111,benedek tomcsanyi,HUN,4.3,8.366,0.0,2019,qual,12.666
112,khabibullo ergashev,UZB,4.6,8.066,0.0,2019,qual,12.666
113,oskar kirmes,FIN,4.7,7.966,0.0,2019,qual,12.666
114,stian skjerahaug,NOR,4.5,8.133,0.0,2019,qual,12.633
115,rasuljon abdurakhimov,UZB,4.6,8.033,0.0,2019,qual,12.633
116,adickxon trejo,VEN,5.0,7.633,0.0,2019,qual,12.633
117,akim mussayev,KAZ,4.5,8.1,0.0,2019,qual,12.6
